"unique_key","created_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","status","community_board","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","latitude","longitude","location"
"67083914","2025-12-06T16:15:33.000","DSNY","Department of Sanitation","Illegal Dumping","Removal Request","Street","10465","815 SWINTON AVENUE","SWINTON AVENUE","PHILIP AVENUE","LAFAYETTE AVENUE","PHILIP AVENUE","LAFAYETTE AVENUE","ADDRESS","In Progress","10 BRONX","BRONX","1032018","240497","MOBILE","Unspecified","BRONX","40.826655052403076","-73.82739897921734","@{latitude=40.826655052403076; longitude=-73.82739897921734; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67084206","2025-12-06T16:14:52.000","DOB","Department of Buildings","Special Projects Inspection Team (SPIT)","Illegal Hotel Rooms In Residential Building",,"11385","89-06 75 AVENUE","75 AVENUE",,,,,"ADDRESS","Open","05 QUEENS","QUEENS","1022955","197565","UNKNOWN","Unspecified","QUEENS","40.70886238644656","-73.8603936574072","@{latitude=40.70886238644656; longitude=-73.8603936574072; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082480","2025-12-06T16:13:34.000","DSNY","Department of Sanitation","Illegal Dumping","Removal Request","Sidewalk","11691","24-50 FAR ROCKAWAY BOULEVARD","FAR ROCKAWAY BOULEVARD","AZTEC PLACE","ROCKAWAY LINE","AZTEC PLACE","ROCKAWAY LINE","ADDRESS","In Progress","14 QUEENS","QUEENS","1050562","158037","ONLINE","Unspecified","QUEENS","40.600203250384396","-73.76120611307313","@{latitude=40.600203250384396; longitude=-73.76120611307313; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67079400","2025-12-06T16:13:00.000","DOT","Department of Transportation","Traffic Signal Condition","APS",,"11230",,,,,"EAST 16 STREET","AVENUE M","INTERSECTION","Assigned","14 BROOKLYN","BROOKLYN","995603","164474","UNKNOWN","Unspecified","BROOKLYN","40.61811230884545","-73.95910617829708","@{latitude=40.61811230884545; longitude=-73.95910617829708; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076797","2025-12-06T16:11:25.000","DSNY","Department of Sanitation","Dead Animal","Cat","Street","10461","1971 EDISON AVENUE","EDISON AVENUE","SANTO DONATO PLACE","WILKINSON AVENUE","SANTO DONATO PLACE","WILKINSON AVENUE","ADDRESS","In Progress","10 BRONX","BRONX","1030718","249411","PHONE","Unspecified","BRONX","40.851128281562225","-73.83203452210469","@{latitude=40.851128281562225; longitude=-73.83203452210469; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67081198","2025-12-06T16:11:00.000","DEP","Department of Environmental Protection","Water System","Possible Water Main Break (Use Comments) (WA1)",,"11378","60-78 69 PLACE","69 PLACE","60 DR","ELIOT AVE",,,"ADDRESS","Open","05 QUEENS","QUEENS","1014759","201787","PHONE","Unspecified","QUEENS","40.72048281517262","-73.88993691109188","@{latitude=40.72048281517262; longitude=-73.88993691109188; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67079682","2025-12-06T16:09:00.000","DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","3+ Family Apt. Building","10028","518 EAST   82 STREET","EAST   82 STREET","YORK AVENUE","EAST END AVENUE","YORK AVENUE","EAST END AVENUE","ADDRESS","In Progress","08 MANHATTAN","MANHATTAN","998674","220860","ONLINE","Unspecified","MANHATTAN","40.77287425056508","-73.9479236083193","@{latitude=40.77287425056508; longitude=-73.9479236083193; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67079889","2025-12-06T16:08:50.000","DOB","Department of Buildings","Building/Use","Illegal Conversion Of Residential Building/Space",,"11208","343 BERRIMAN STREET","BERRIMAN STREET",,,,,"ADDRESS","Open","05 BROOKLYN","BROOKLYN","1017876","183358","UNKNOWN","Unspecified","BROOKLYN","40.66988823678638","-73.87878415533535","@{latitude=40.66988823678638; longitude=-73.87878415533535; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082774","2025-12-06T16:05:50.000","DOB","Department of Buildings","Emergency Response Team (ERT)","After Hours Work - Illegal",,"10027","1470 AMSTERDAM AVENUE","AMSTERDAM AVENUE",,,,,"ADDRESS","Open","09 MANHATTAN","MANHATTAN","997153","237061","UNKNOWN","Unspecified","MANHATTAN","40.817343949772905","-73.95338389635391","@{latitude=40.817343949772905; longitude=-73.95338389635391; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67084058","2025-12-06T16:05:00.000","DEP","Department of Environmental Protection","Water System","Hydrant Leaking (WC1)",,"10472",,,,,"BOYNTON AVENUE","EAST 173 STREET","INTERSECTION","Open","09 BRONX","BRONX","1017632","242961","PHONE","Unspecified","BRONX","40.83348410628512","-73.87936784529583","@{latitude=40.83348410628512; longitude=-73.87936784529583; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
